FID_1,FID_1_1,FID_,FID_base_t,x_s,y_s,x_e,y_e,FID_2,OBJECTID,FID_市界,NAME,ADMINCODE,KIND,CITYCODE,PROVINCENA,FID_gis_os,osm_id,code,fclass,name_1,ref,oneway,maxspeed,layer,bridge,tunnel,road_len
3107,3519,3519,6906,113.2925334380 ,23.1371573204 ,113.2918406320 ,23.1371412083 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,43.38205315
3108,3521,3521,6901,113.2964025840 ,23.1371567925 ,113.2958845190 ,23.1371614424 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,32.46636872
3109,3523,3523,6900,113.2967220040 ,23.1371638619 ,113.2964025840 ,23.1371567925 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,61.16094731
3110,3524,3524,6899,113.2973239060 ,23.1371628624 ,113.2967220040 ,23.1371638619 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,61.16094731
3111,3525,3525,6902,113.2958845190 ,23.1371614424 ,113.2950390350 ,23.1371666189 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,85.91376731
3112,3527,3527,6903,113.2950390350 ,23.1371666189 ,113.2932951130 ,23.1371790107 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,85.91376731
3113,3528,3528,6905,113.2929596970 ,23.1371795409 ,113.2925334380 ,23.1371573204 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,43.38205315
3114,3529,3529,6904,113.2932951130 ,23.1371790107 ,113.2929596970 ,23.1371795409 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,177.2096455
3115,3540,3540,6898,113.3011008600 ,23.1372365078 ,113.2973239060 ,23.1371628624 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,383.8712483
3116,3548,3548,6897,113.3023115500 ,23.1372649856 ,113.3011008600 ,23.1372365078 ,6548,6843,1,,440183,137,440100,4??,494869,240382530,5113,primary,环市东路, ,F,0,0,F,F,123.0610029
3117,3475,3475,6097,113.3045582230 ,23.1370360009 ,113.3079765100 ,23.1366961551 ,6549,6844,1,,440183,137,440100,4??,494870,240382531,5113,primary,天河路, ,F,0,0,F,F,80.70477078
3118,3489,3489,6096,113.3037657600 ,23.1370850923 ,113.3045582230 ,23.1370360009 ,6549,6844,1,,440183,137,440100,4??,494870,240382531,5113,primary,天河路, ,F,0,0,F,F,96.1311366
3119,3505,3505,6893,113.3028215790 ,23.1371401395 ,113.3037657600 ,23.1370850923 ,6549,6844,1,,440183,137,440100,4??,494870,240382531,5113,primary,天河路, ,F,0,0,F,F,27.0870402
3120,3009,3009,5896,113.2940949310 ,23.1338945522 ,113.2952758200 ,23.1340871683 ,6889,7218,1,,440183,137,440100,4??,521519,245762345,5112,trunk,东风东路, ,F,0,0,F,F,121.8488299
3121,2930,2930,5891,113.2899740320 ,23.1335540055 ,113.2917640040 ,23.1335779556 ,6890,7219,1,,440183,137,440100,4??,521520,245762346,5112,trunk,东风东路, ,F,0,0,F,F,15.136131
3122,2962,2962,5995,113.2927243390 ,23.1337270955 ,113.2919776320 ,23.1336576916 ,6893,7222,1,,440183,137,440100,4??,521523,245762349,5112,trunk,东风东路, ,F,0,1,T,F,76.2595581
3123,2966,2966,5994,113.2928311530 ,23.1337459198 ,113.2927243390 ,23.1337270955 ,6893,7222,1,,440183,137,440100,4??,521523,245762349,5112,trunk,东风东路, ,F,0,1,T,F,55.00340404
3124,2987,2987,5993,113.2933642180 ,23.1338328422 ,113.2928311530 ,23.1337459198 ,6893,7222,1,,440183,137,440100,4??,521523,245762349,5112,trunk,东风东路, ,F,0,1,T,F,55.00340404
3125,2999,2999,5992,113.2940030890 ,23.1339518763 ,113.2933642180 ,23.1338328422 ,6893,7222,1,,440183,137,440100,4??,521523,245762349,5112,trunk,东风东路, ,F,0,1,T,F,75.56565578
3126,4689,4689,2556,113.2760778340 ,23.1451511287 ,113.2759869540 ,23.1450978522 ,7068,7406,1,,440183,137,440100,4??,532494,248670523,5115,tertiary,恒福路, ,B,0,0,F,F,10.93299436
3127,4700,4700,2555,113.2762156500 ,23.1452692262 ,113.2760778340 ,23.1451511287 ,7068,7406,1,,440183,137,440100,4??,532494,248670523,5115,tertiary,恒福路, ,B,0,0,F,F,19.09046921
3128,4946,4946,2382,113.2794302960 ,23.1464474628 ,113.2799715430 ,23.1464658858 ,7072,7410,1,,440183,137,440100,4??,532498,248670528,5112,trunk,内环路, ,F,0,2,T,F,55.02994723
3129,4954,4954,2383,113.2799715430 ,23.1464658858 ,113.2809921000 ,23.1465084831 ,7072,7410,1,,440183,137,440100,4??,532498,248670528,5112,trunk,内环路, ,F,0,2,T,F,55.02994723
3130,4938,4938,2378,113.2776017720 ,23.1463752896 ,113.2777775360 ,23.1464189654 ,7073,7411,1,,440183,137,440100,4??,532499,248670529,5132,trunk_link, , ,F,0,3,T,F,28.59820193
3131,4941,4941,2379,113.2777775360 ,23.1464189654 ,113.2779223420 ,23.1464416852 ,7073,7411,1,,440183,137,440100,4??,532499,248670529,5132,trunk_link, , ,F,0,3,T,F,18.4917801
3132,4942,4942,2380,113.2779223420 ,23.1464416852 ,113.2780821280 ,23.1464547904 ,7073,7411,1,,440183,137,440100,4??,532499,248670529,5132,trunk_link, , ,F,0,3,T,F,16.29853512
3133,4964,4964,2384,113.2809921000 ,23.1465084831 ,113.2826986190 ,23.1465596463 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,173.4794841
3134,4977,4977,2385,113.2826986190 ,23.1465596463 ,113.2854873890 ,23.1465920386 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,283.3711945
3135,4983,4983,2386,113.2854873890 ,23.1465920386 ,113.2858068900 ,23.1466049854 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,283.3711945
3136,4991,4991,2387,113.2858068900 ,23.1466049854 ,113.2862032650 ,23.1466559058 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,32.49357738
3137,5003,5003,2388,113.2862032650 ,23.1466559058 ,113.2865766710 ,23.1467182504 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,38.5527695
3138,5020,5020,2389,113.2865766710 ,23.1467182504 ,113.2868662070 ,23.1467846101 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,38.5527695
3139,5034,5034,2390,113.2868662070 ,23.1467846101 ,113.2872236300 ,23.1468812579 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,30.30788492
3140,5043,5043,2391,113.2872236300 ,23.1468812579 ,113.2873833700 ,23.1469402038 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,37.83603705
3141,5056,5056,2392,113.2873833700 ,23.1469402038 ,113.2877038470 ,23.1470597916 ,7074,7412,1,,440183,137,440100,4??,532974,248958017,5112,trunk,内环路, ,F,0,1,T,F,17.47458945
3142,3988,3988,2445,113.3025249590 ,23.1399528380 ,113.3023953830 ,23.1373638990 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,284.7616318
3143,4027,4027,2444,113.3025399060 ,23.1403036720 ,113.3025249590 ,23.1399528380 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,52.3668825
3144,4083,4083,2443,113.3025398740 ,23.1407802822 ,113.3025399060 ,23.1403036720 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,52.3668825
3145,4272,4272,2440,113.3023650940 ,23.1424851110 ,113.3024479780 ,23.1418462195 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,37.49846298
3146,4296,4296,2439,113.3022882190 ,23.1428189132 ,113.3023650940 ,23.1424851110 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,37.49846298
3147,4326,4326,2438,113.3021664210 ,23.1432766448 ,113.3022882190 ,23.1428189132 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,51.79262804
3148,4386,4386,2437,113.3020825610 ,23.1435742735 ,113.3021664210 ,23.1432766448 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,44.91618539
